locus_tag	ftype	length_bp	gene	EC_number	COG	product
NJOOCDGH_00802	CDS	573				hypothetical protein
NJOOCDGH_00803	CDS	753				hypothetical protein
NJOOCDGH_00804	CDS	405				hypothetical protein
NJOOCDGH_00805	CDS	2400	lon_1	3.4.21.53	COG0466	Lon protease
NJOOCDGH_00806	CDS	753	rhaS_2			HTH-type transcriptional activator RhaS
NJOOCDGH_00807	CDS	2064			COG1629	putative TonB-dependent receptor
NJOOCDGH_00808	CDS	3183	putA		COG0506	Bifunctional protein PutA
NJOOCDGH_00809	CDS	1521	putP_2		COG0591	Sodium/proline symporter
NJOOCDGH_00810	CDS	918	gcvA_4			Glycine cleavage system transcriptional activator
NJOOCDGH_00811	CDS	639	azoR1_1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase 1
NJOOCDGH_00812	CDS	306	gdx_1			Guanidinium exporter
NJOOCDGH_00813	CDS	1164				hypothetical protein
NJOOCDGH_00814	CDS	2994				hypothetical protein
NJOOCDGH_00815	CDS	204				hypothetical protein
NJOOCDGH_00816	CDS	1416	proY_1		COG1113	Proline-specific permease ProY
NJOOCDGH_00817	CDS	816				hypothetical protein
NJOOCDGH_00818	CDS	789	nimR_2			HTH-type transcriptional regulator NimR
NJOOCDGH_00819	CDS	1485	mmgE	4.2.1.-	COG2079	Citrate/2-methylcitrate dehydratase
NJOOCDGH_00820	CDS	1188	prpF	5.3.3.-	COG2828	2-methyl-aconitate isomerase
NJOOCDGH_00821	CDS	2607	acnM	4.2.1.3	COG1048	Aconitate hydratase A
NJOOCDGH_00822	CDS	1128	prpC_2	2.3.3.5	COG0372	2-methylcitrate synthase
NJOOCDGH_00823	CDS	897	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
NJOOCDGH_00824	CDS	723	gntR_1			putative D-xylose utilization operon transcriptional repressor
NJOOCDGH_00825	CDS	612	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
NJOOCDGH_00826	CDS	2322				hypothetical protein
NJOOCDGH_00827	CDS	297				hypothetical protein
NJOOCDGH_00828	CDS	1521				hypothetical protein
NJOOCDGH_00829	CDS	324				hypothetical protein
NJOOCDGH_00830	CDS	441			COG2764	putative protein
NJOOCDGH_00831	CDS	822		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
NJOOCDGH_00832	CDS	228				hypothetical protein
NJOOCDGH_00833	CDS	396				hypothetical protein
NJOOCDGH_00834	CDS	768	amiD_1	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
NJOOCDGH_00835	CDS	474				hypothetical protein
NJOOCDGH_00836	CDS	1317	mntH_1			Divalent metal cation transporter MntH
NJOOCDGH_00837	CDS	702	hdl IVa	3.8.1.2		(S)-2-haloacid dehalogenase 4A
NJOOCDGH_00838	CDS	1248	nanT_1			Sialic acid transporter NanT
NJOOCDGH_00839	CDS	1296				hypothetical protein
NJOOCDGH_00840	CDS	1248	cefD_1	5.1.1.17	COG0520	Isopenicillin N epimerase
NJOOCDGH_00841	CDS	435				hypothetical protein
NJOOCDGH_00842	CDS	954	yjiE_1			HTH-type transcriptional regulator YjiE
NJOOCDGH_00843	CDS	885	yofA_1		COG0583	HTH-type transcriptional regulator YofA
NJOOCDGH_00844	CDS	426				hypothetical protein
NJOOCDGH_00845	CDS	273				hypothetical protein
NJOOCDGH_00846	CDS	294				hypothetical protein
NJOOCDGH_00847	CDS	813				hypothetical protein
NJOOCDGH_00848	CDS	1089				hypothetical protein
NJOOCDGH_00849	CDS	234				hypothetical protein
NJOOCDGH_00850	CDS	366				hypothetical protein
NJOOCDGH_00851	CDS	336				hypothetical protein
NJOOCDGH_00852	CDS	639				hypothetical protein
NJOOCDGH_00853	tmRNA	353	ssrA			transfer-messenger RNA, SsrA
NJOOCDGH_00854	CDS	879				hypothetical protein
NJOOCDGH_00855	CDS	684				hypothetical protein
NJOOCDGH_00856	CDS	942	bphD	3.7.1.8		2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase
NJOOCDGH_00857	CDS	834				hypothetical protein
NJOOCDGH_00858	CDS	1020				putative HTH-type transcriptional regulator
NJOOCDGH_00859	CDS	642	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
NJOOCDGH_00860	CDS	714	yiaD		COG2885	putative lipoprotein YiaD
NJOOCDGH_00861	CDS	915	yihG_2	2.3.-.-	COG0204	putative acyltransferase YihG
NJOOCDGH_00862	CDS	2115	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
NJOOCDGH_00863	CDS	1185	ackA	2.7.2.1	COG0282	Acetate kinase
NJOOCDGH_00864	CDS	486	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
NJOOCDGH_00865	CDS	483	btuE_1	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
NJOOCDGH_00866	CDS	591	nemR_1			HTH-type transcriptional repressor NemR
NJOOCDGH_00867	CDS	1113		1.-.-.-		NADH oxidase
NJOOCDGH_00868	CDS	960				hypothetical protein
NJOOCDGH_00869	CDS	1221	mgtA_1	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
NJOOCDGH_00870	CDS	624				hypothetical protein
NJOOCDGH_00871	CDS	2193	plcN_1	3.1.4.3	COG3511	Non-hemolytic phospholipase C
NJOOCDGH_00872	CDS	2013		3.5.1.23		Neutral ceramidase
NJOOCDGH_00873	CDS	741	cysZ		COG2981	Sulfate transporter CysZ
NJOOCDGH_00874	CDS	1986				hypothetical protein
NJOOCDGH_00875	CDS	600	ahpC_2	1.11.1.15	COG0450	Alkyl hydroperoxide reductase C
NJOOCDGH_00876	CDS	951		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
NJOOCDGH_00877	CDS	420				hypothetical protein
NJOOCDGH_00878	CDS	963	tdcB	4.3.1.19		L-threonine dehydratase catabolic TdcB
NJOOCDGH_00879	CDS	1170	cbpD		COG3397	Chitin-binding protein CbpD
NJOOCDGH_00880	CDS	624				hypothetical protein
NJOOCDGH_00881	CDS	1395	fumC_1	4.2.1.2	COG0114	Fumarate hydratase class II
NJOOCDGH_00882	CDS	1020				hypothetical protein
NJOOCDGH_00883	CDS	504				hypothetical protein
NJOOCDGH_00884	CDS	306	bolA		COG0271	DNA-binding transcriptional regulator BolA
NJOOCDGH_00885	CDS	939				hypothetical protein
NJOOCDGH_00886	CDS	639				hypothetical protein
NJOOCDGH_00887	CDS	1791	bmrA	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
NJOOCDGH_00888	CDS	2457				hypothetical protein
NJOOCDGH_00889	CDS	783				hypothetical protein
NJOOCDGH_00890	CDS	960	mas	2.3.1.111		Mycocerosic acid synthase
NJOOCDGH_00891	CDS	174				hypothetical protein
NJOOCDGH_00892	CDS	789	nimR_3			HTH-type transcriptional regulator NimR
NJOOCDGH_00893	CDS	1074	hpd	1.13.11.27		4-hydroxyphenylpyruvate dioxygenase
NJOOCDGH_00894	CDS	1419	aroP_1		COG1113	Aromatic amino acid transport protein AroP
NJOOCDGH_00895	CDS	384	mliC			Membrane-bound lysozyme inhibitor of C-type lysozyme
NJOOCDGH_00896	CDS	414	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
NJOOCDGH_00897	CDS	933	pbpG	3.4.21.-	COG1686	D-alanyl-D-alanine endopeptidase
NJOOCDGH_00898	CDS	1200	aspC_1	2.6.1.1	COG1448	Aspartate aminotransferase
NJOOCDGH_00899	CDS	357		4.2.1.96		Putative pterin-4-alpha-carbinolamine dehydratase
NJOOCDGH_00900	CDS	789	phhA	1.14.16.1	COG3186	Phenylalanine-4-hydroxylase
NJOOCDGH_00901	CDS	1560	tyrR_1			Transcriptional regulatory protein TyrR
NJOOCDGH_00902	CDS	267				hypothetical protein
NJOOCDGH_00903	CDS	2196	aaeB_1			p-hydroxybenzoic acid efflux pump subunit AaeB
NJOOCDGH_00904	CDS	945	dmlR_5			HTH-type transcriptional regulator DmlR
NJOOCDGH_00905	CDS	897	gltC_3			HTH-type transcriptional regulator GltC
NJOOCDGH_00906	CDS	828	meh	4.2.1.153	COG3777	Mesaconyl-C(4)-CoA hydratase
NJOOCDGH_00907	CDS	1161		1.3.8.10	COG1960	Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase
NJOOCDGH_00908	CDS	381			COG0346	Virulence protein
NJOOCDGH_00909	CDS	1353				hypothetical protein
NJOOCDGH_00910	CDS	1203	uctC	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
NJOOCDGH_00911	CDS	828	citE	4.1.-.-	COG2301	Citrate lyase subunit beta-like protein
NJOOCDGH_00912	CDS	996	dctP_1		COG1638	C4-dicarboxylate-binding periplasmic protein DctP
NJOOCDGH_00913	CDS	639	dctQ_1		COG3090	C4-dicarboxylate TRAP transporter small permease protein DctQ
NJOOCDGH_00914	CDS	1284	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
NJOOCDGH_00915	CDS	1956	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
NJOOCDGH_00916	CDS	780	argT_1		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
NJOOCDGH_00917	CDS	690	hisQ_1		COG4215	Histidine transport system permease protein HisQ
NJOOCDGH_00918	CDS	699	occM_1			Octopine transport system permease protein OccM
NJOOCDGH_00919	CDS	1113				hypothetical protein
NJOOCDGH_00920	CDS	765	hisP_1		COG4598	Histidine transport ATP-binding protein HisP
NJOOCDGH_00921	CDS	990	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
NJOOCDGH_00922	CDS	261				hypothetical protein
NJOOCDGH_00923	CDS	1221	aruC	2.6.1.11	COG4992	Succinylornithine transaminase/acetylornithine aminotransferase
NJOOCDGH_00924	CDS	1017	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase subunit alpha
NJOOCDGH_00925	CDS	1023	aruG	2.3.1.109	COG3138	Arginine N-succinyltransferase subunit beta
NJOOCDGH_00926	CDS	1464	astD	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
NJOOCDGH_00927	CDS	1347	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
NJOOCDGH_00928	CDS	291				hypothetical protein
NJOOCDGH_00929	CDS	999	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
NJOOCDGH_00930	CDS	1005	ltaE_1	4.1.2.48	COG2008	Low specificity L-threonine aldolase
NJOOCDGH_00931	CDS	2625	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
NJOOCDGH_00932	CDS	1239	lysC	2.7.2.4	COG0527	Aspartokinase
NJOOCDGH_00933	CDS	186	csrA_1		COG1551	Translational regulator CsrA
NJOOCDGH_00934	tRNA	91				tRNA-Ser(gct)
NJOOCDGH_00935	tRNA	77				tRNA-Arg(acg)
NJOOCDGH_00936	tRNA	77				tRNA-Arg(acg)
NJOOCDGH_00937	CDS	714	prtR_2		COG2932	HTH-type transcriptional regulator PrtR
NJOOCDGH_00938	CDS	531				hypothetical protein
NJOOCDGH_00939	CDS	375				hypothetical protein
NJOOCDGH_00940	CDS	276				hypothetical protein
NJOOCDGH_00941	CDS	504				hypothetical protein
NJOOCDGH_00942	CDS	453				hypothetical protein
NJOOCDGH_00943	CDS	540				hypothetical protein
NJOOCDGH_00944	CDS	1449			COG2239	Magnesium transporter MgtE
NJOOCDGH_00945	CDS	393				hypothetical protein
NJOOCDGH_00946	CDS	462				hypothetical protein
NJOOCDGH_00947	CDS	1323	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
NJOOCDGH_00948	CDS	1905	kup			Low affinity potassium transport system protein kup
NJOOCDGH_00949	CDS	549	yodB_1		COG3038	Cytochrome b561 
NJOOCDGH_00950	CDS	1284				hypothetical protein
NJOOCDGH_00951	CDS	2646				hypothetical protein
NJOOCDGH_00952	CDS	360				hypothetical protein
NJOOCDGH_00953	CDS	315				hypothetical protein
NJOOCDGH_00954	tRNA	77				tRNA-Met(cat)
NJOOCDGH_00955	CDS	1050	dinB	2.7.7.7	COG0389	DNA polymerase IV
NJOOCDGH_00956	CDS	1929	yejM		COG3083	Inner membrane protein YejM
NJOOCDGH_00957	CDS	408				hypothetical protein
NJOOCDGH_00958	CDS	426				hypothetical protein
NJOOCDGH_00959	CDS	990	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
NJOOCDGH_00960	CDS	2778	barA_1	2.7.13.3	COG0784	Signal transduction histidine-protein kinase BarA
NJOOCDGH_00961	CDS	720	baeR_1		COG0745	Transcriptional regulatory protein BaeR
NJOOCDGH_00962	CDS	1341	pfeS_1	2.7.13.3	COG0642	Sensor protein PfeS
NJOOCDGH_00963	CDS	2229	pfeA_1		COG4771	Ferric enterobactin receptor
NJOOCDGH_00964	CDS	900	cysM	2.5.1.47	COG0031	Cysteine synthase B
NJOOCDGH_00965	CDS	1353	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
NJOOCDGH_00966	CDS	2244	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
NJOOCDGH_00967	CDS	831	mazG	3.6.1.8	COG1694	Nucleoside triphosphate pyrophosphohydrolase
NJOOCDGH_00968	CDS	939				hypothetical protein
NJOOCDGH_00969	CDS	540				hypothetical protein
NJOOCDGH_00970	CDS	1329				hypothetical protein
NJOOCDGH_00971	CDS	192				hypothetical protein
NJOOCDGH_00972	CDS	327				hypothetical protein
NJOOCDGH_00973	CDS	255				hypothetical protein
NJOOCDGH_00974	CDS	234				hypothetical protein
NJOOCDGH_00975	CDS	561				hypothetical protein
NJOOCDGH_00976	CDS	717				hypothetical protein
NJOOCDGH_00977	CDS	669	purN_1	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
NJOOCDGH_00978	CDS	1062	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
NJOOCDGH_00979	CDS	1038				hypothetical protein
NJOOCDGH_00980	CDS	705	hda		COG0593	DnaA regulatory inactivator Hda
NJOOCDGH_00981	CDS	420				hypothetical protein
NJOOCDGH_00982	CDS	597		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
NJOOCDGH_00983	CDS	354	yfgD		COG1393	putative protein YfgD
NJOOCDGH_00984	CDS	1236				hypothetical protein
NJOOCDGH_00985	CDS	195				hypothetical protein
NJOOCDGH_00986	CDS	384				hypothetical protein
NJOOCDGH_00987	CDS	465	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
NJOOCDGH_00988	CDS	276	acyP	3.6.1.7	COG1254	Acylphosphatase
NJOOCDGH_00989	CDS	957				hypothetical protein
NJOOCDGH_00990	CDS	1716	proS	6.1.1.15	COG0442	Proline--tRNA ligase
NJOOCDGH_00991	CDS	408				hypothetical protein
NJOOCDGH_00992	CDS	1332	oprD_3	3.4.21.-		Porin D
NJOOCDGH_00993	CDS	429				hypothetical protein
NJOOCDGH_00994	CDS	210	slyX			Protein SlyX
NJOOCDGH_00995	CDS	615				hypothetical protein
NJOOCDGH_00996	CDS	471			COG0783	putative protein
NJOOCDGH_00997	CDS	1776	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
NJOOCDGH_00998	CDS	747	pmpR		COG0217	Transcriptional regulatory protein PmpR
NJOOCDGH_00999	CDS	525	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
NJOOCDGH_01000	CDS	606	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
NJOOCDGH_01001	CDS	1059	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
NJOOCDGH_01002	CDS	447	ybgC_1	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
NJOOCDGH_01003	CDS	696	tolQ_3		COG0811	Tol-Pal system protein TolQ
NJOOCDGH_01004	CDS	441	exbD_3		COG0848	Biopolymer transport protein ExbD
NJOOCDGH_01005	CDS	1044	tolA			Tol-Pal system protein TolA
NJOOCDGH_01006	CDS	1299	tolB_1		COG0823	Tol-Pal system protein TolB
NJOOCDGH_01007	CDS	507	pal_1		COG2885	Peptidoglycan-associated lipoprotein
NJOOCDGH_01008	CDS	825	cpoB_1			Cell division coordinator CpoB
NJOOCDGH_01009	CDS	648	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
NJOOCDGH_01010	CDS	675	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
NJOOCDGH_01011	tRNA	76				tRNA-Lys(ttt)
NJOOCDGH_01012	CDS	738				IS3 family transposase IS222
NJOOCDGH_01013	CDS	309				IS3 family transposase IS222
NJOOCDGH_01014	CDS	624				hypothetical protein
NJOOCDGH_01015	CDS	219				hypothetical protein
NJOOCDGH_01016	CDS	549				hypothetical protein
NJOOCDGH_01017	CDS	288				hypothetical protein
NJOOCDGH_01018	CDS	1497				hypothetical protein
NJOOCDGH_01019	CDS	264				IS3 family transposase ISPa32
NJOOCDGH_01020	CDS	843				IS3 family transposase ISPa32
NJOOCDGH_01021	CDS	405		3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
NJOOCDGH_01022	CDS	561				hypothetical protein
NJOOCDGH_01023	CDS	705	nudC_1	3.6.1.22		NADH pyrophosphatase
NJOOCDGH_01024	CDS	642				hypothetical protein
NJOOCDGH_01025	CDS	618				hypothetical protein
NJOOCDGH_01026	CDS	714	yadV_2			putative fimbrial chaperone YadV
NJOOCDGH_01027	CDS	2520	fimD		COG3188	Outer membrane usher protein FimD
NJOOCDGH_01028	CDS	522	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
NJOOCDGH_01029	CDS	1554	pqsA	6.2.1.32	COG0365	Anthranilate--CoA ligase
NJOOCDGH_01030	CDS	852	pqsB		COG0332	2-heptyl-4(1H)-quinolone synthase subunit PqsB
NJOOCDGH_01031	CDS	1047	pqsC	2.3.1.230	COG0332	2-heptyl-4(1H)-quinolone synthase subunit PqsC
NJOOCDGH_01032	CDS	1014	pqsD	2.3.1.262	COG0332	Anthraniloyl-CoA anthraniloyltransferase
NJOOCDGH_01033	CDS	906	pqsE	3.1.2.32		2-aminobenzoylacetyl-CoA thioesterase
NJOOCDGH_01034	CDS	1572	phnA	4.1.3.27	COG0147	Anthranilate synthase component 1, pyocyanine specific
NJOOCDGH_01035	CDS	603	phnB	4.1.3.27	COG0512	Anthranilate synthase component 2, pyocyanine specific
NJOOCDGH_01036	CDS	999				hypothetical protein
NJOOCDGH_01037	CDS	1059	nadA	2.5.1.72	COG0379	Quinolinate synthase A
NJOOCDGH_01038	CDS	1434	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
NJOOCDGH_01039	CDS	252	tusA_1		COG0425	Sulfur carrier protein TusA
NJOOCDGH_01040	CDS	1074				hypothetical protein
NJOOCDGH_01041	CDS	474	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
NJOOCDGH_01042	CDS	558	gcvR		COG2716	Glycine cleavage system transcriptional repressor
NJOOCDGH_01043	CDS	879	dapA_2	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
NJOOCDGH_01044	CDS	1191	bamC			Outer membrane protein assembly factor BamC
NJOOCDGH_01045	CDS	759	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
NJOOCDGH_01046	CDS	711	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
NJOOCDGH_01047	tRNA	90				tRNA-Ser(cga)
NJOOCDGH_01048	CDS	900				hypothetical protein
NJOOCDGH_01049	CDS	801	allR		COG1414	HTH-type transcriptional repressor AllR
NJOOCDGH_01050	CDS	312				hypothetical protein
NJOOCDGH_01051	CDS	1152	fadA_1	2.3.1.16		3-ketoacyl-CoA thiolase
NJOOCDGH_01052	CDS	2148	FCS1_1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
NJOOCDGH_01053	CDS	867				hypothetical protein
NJOOCDGH_01054	CDS	1356	yjhB_1			Putative metabolite transport protein YjhB
NJOOCDGH_01055	CDS	408				hypothetical protein
NJOOCDGH_01056	CDS	1065				hypothetical protein
NJOOCDGH_01057	CDS	762	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
NJOOCDGH_01058	CDS	1146		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
NJOOCDGH_01059	CDS	918				hypothetical protein
NJOOCDGH_01060	CDS	987		1.6.5.11	COG2070	NADH:quinone reductase
NJOOCDGH_01061	CDS	1251	nicP_4			Porin-like protein NicP
NJOOCDGH_01062	CDS	477				hypothetical protein
NJOOCDGH_01063	CDS	1494	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)]
NJOOCDGH_01064	CDS	1287	puuB_2	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
NJOOCDGH_01065	CDS	288				hypothetical protein
NJOOCDGH_01066	CDS	756				hypothetical protein
NJOOCDGH_01067	CDS	1476				hypothetical protein
NJOOCDGH_01068	CDS	2544	quiP_2	3.5.1.97	COG2366	Acyl-homoserine lactone acylase QuiP
NJOOCDGH_01069	CDS	642	yfcG_1	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
NJOOCDGH_01070	CDS	201				hypothetical protein
NJOOCDGH_01071	CDS	495				hypothetical protein
NJOOCDGH_01072	CDS	561				hypothetical protein
NJOOCDGH_01073	CDS	621				hypothetical protein
NJOOCDGH_01074	CDS	318				hypothetical protein
NJOOCDGH_01075	CDS	474				hypothetical protein
NJOOCDGH_01076	CDS	498				hypothetical protein
NJOOCDGH_01077	CDS	633	pal_2			Peptidoglycan-associated lipoprotein
NJOOCDGH_01078	CDS	300				hypothetical protein
NJOOCDGH_01079	CDS	810				hypothetical protein
NJOOCDGH_01080	CDS	465				hypothetical protein
NJOOCDGH_01081	CDS	2145	dinG_1	3.6.4.12	COG1199	ATP-dependent DNA helicase DinG
NJOOCDGH_01082	CDS	2250				hypothetical protein
NJOOCDGH_01083	CDS	1146	yfeW	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
NJOOCDGH_01084	CDS	882	pal_3			Peptidoglycan-associated lipoprotein
NJOOCDGH_01085	CDS	648	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
NJOOCDGH_01086	CDS	1113	cdaR		COG3835	Carbohydrate diacid regulator
NJOOCDGH_01087	CDS	1359	dsdX		COG2610	D-serine transporter DsdX
NJOOCDGH_01088	CDS	1146	garK	2.7.1.165	COG1929	Glycerate 2-kinase
NJOOCDGH_01089	CDS	243				hypothetical protein
NJOOCDGH_01090	CDS	465	slyB		COG3133	Outer membrane lipoprotein SlyB
NJOOCDGH_01091	CDS	2802	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
NJOOCDGH_01092	CDS	339	mnhC1		COG1006	Na(+)/H(+) antiporter subunit C1
NJOOCDGH_01093	CDS	1500	mrpD		COG0651	Na(+)/H(+) antiporter subunit D
NJOOCDGH_01094	CDS	525	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
NJOOCDGH_01095	CDS	270	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
NJOOCDGH_01096	CDS	348	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
NJOOCDGH_01097	CDS	906				hypothetical protein
NJOOCDGH_01098	CDS	1098	sbnA	2.5.1.140		N-(2-amino-2-carboxyethyl)-L-glutamate synthase
NJOOCDGH_01099	CDS	522				hypothetical protein
NJOOCDGH_01100	CDS	252				hypothetical protein
NJOOCDGH_01101	CDS	666				hypothetical protein
NJOOCDGH_01102	CDS	399				hypothetical protein
NJOOCDGH_01103	CDS	600				hypothetical protein
NJOOCDGH_01104	CDS	915	dmlR_6			HTH-type transcriptional regulator DmlR
NJOOCDGH_01105	CDS	1842	htpG_1			Chaperone protein HtpG
NJOOCDGH_01106	CDS	2295				hypothetical protein
NJOOCDGH_01107	CDS	702	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
NJOOCDGH_01108	CDS	768	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
NJOOCDGH_01109	CDS	1254				hypothetical protein
NJOOCDGH_01110	CDS	924	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
NJOOCDGH_01111	CDS	1122	braC		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
NJOOCDGH_01112	CDS	318				hypothetical protein
NJOOCDGH_01113	CDS	363				hypothetical protein
NJOOCDGH_01114	CDS	408	flgB		COG1815	Flagellar basal body rod protein FlgB
NJOOCDGH_01115	CDS	441	flgC		COG1558	Flagellar basal-body rod protein FlgC
NJOOCDGH_01116	CDS	714	flgD		COG1843	Basal-body rod modification protein FlgD
NJOOCDGH_01117	CDS	1389	flgE		COG1749	Flagellar hook protein FlgE
NJOOCDGH_01118	CDS	750	flgF		COG4787	Flagellar basal-body rod protein FlgF
NJOOCDGH_01119	CDS	786	flgG		COG4786	Flagellar basal-body rod protein FlgG
NJOOCDGH_01120	CDS	696	flgH			Flagellar L-ring protein
NJOOCDGH_01121	CDS	1110	flgI			Flagellar P-ring protein
NJOOCDGH_01122	CDS	1203				hypothetical protein
NJOOCDGH_01123	CDS	2052				hypothetical protein
NJOOCDGH_01124	CDS	1320				hypothetical protein
NJOOCDGH_01125	CDS	762	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
NJOOCDGH_01126	CDS	603		3.1.3.3	COG0560	Phosphoserine phosphatase
NJOOCDGH_01127	CDS	663	ispD_1	2.7.7.60		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
NJOOCDGH_01128	CDS	5085				hypothetical protein
NJOOCDGH_01129	CDS	1467	fliC		COG1344	B-type flagellin
NJOOCDGH_01130	CDS	372				hypothetical protein
NJOOCDGH_01131	CDS	1425	fliD		COG1345	B-type flagellar hook-associated protein 2
NJOOCDGH_01132	CDS	381	fliS		COG1516	Flagellar secretion chaperone FliS
NJOOCDGH_01133	CDS	297				hypothetical protein
NJOOCDGH_01134	CDS	1473	atoC_1		COG2204	Regulatory protein AtoC
NJOOCDGH_01135	CDS	1209	atoS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase AtoS
NJOOCDGH_01136	CDS	1422	atoC_2		COG2204	Regulatory protein AtoC
NJOOCDGH_01137	CDS	330	fliE		COG1677	Flagellar hook-basal body complex protein FliE
NJOOCDGH_01138	CDS	1797				hypothetical protein
NJOOCDGH_01139	CDS	1017	fliG		COG1536	Flagellar motor switch protein FliG
NJOOCDGH_01140	CDS	807				hypothetical protein
NJOOCDGH_01141	CDS	1356	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
NJOOCDGH_01142	CDS	444	fliJ		COG2882	Flagellar FliJ protein
NJOOCDGH_01143	CDS	714				hypothetical protein
NJOOCDGH_01144	CDS	1197				hypothetical protein
NJOOCDGH_01145	CDS	1158	ydhC			Inner membrane transport protein YdhC
NJOOCDGH_01146	CDS	780	nimR_4			HTH-type transcriptional regulator NimR
NJOOCDGH_01147	CDS	711	rluF	5.4.99.-	COG1187	Dual-specificity RNA pseudouridine synthase RluF
NJOOCDGH_01148	CDS	624				hypothetical protein
NJOOCDGH_01149	CDS	1149	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
NJOOCDGH_01150	CDS	222			COG4628	DNA-binding protein
NJOOCDGH_01151	CDS	192				hypothetical protein
NJOOCDGH_01152	CDS	1767		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
NJOOCDGH_01153	CDS	336				hypothetical protein
